0 -0.999868 -1.00174 -1.49028 0.35 1.95569 -0.00197863 0.35
1 -0.99972 -1.00347 -1.48057 0.35 1.95086 -0.00154621 0.35
2 -0.999554 -1.00521 -1.47087 0.35 1.94606 -0.00111459 0.35
3 -0.999372 -1.00694 -1.46118 0.35 1.94127 -0.000683775 0.35
4 -0.999172 -1.00868 -1.4515 0.35 1.93651 -0.000253762 0.35
5 -0.998955 -1.01042 -1.44184 0.35 1.93176 0.000175451 0.35
6 -0.998721 -1.01216 -1.43219 0.35 1.92704 0.000603867 0.35
7 -0.99847 -1.01389 -1.42255 0.35 1.92234 0.00103149 0.35
8 -0.998203 -1.01563 -1.41292 0.35 1.91765 0.00145831 0.35
9 -0.997918 -1.01737 -1.4033 0.35 1.91299 0.00188434 0.35
10 -0.997616 -1.0191 -1.3937 0.35 1.90835 0.00230958 0.35
11 -0.997297 -1.02084 -1.38411 0.35 1.90373 0.00273403 0.35
12 -0.99696 -1.02257 -1.37452 0.35 1.89912 0.0031577 0.35
13 -0.996607 -1.0243 -1.36495 0.35 1.89454 0.00358058 0.35
14 -0.996237 -1.02603 -1.3554 0.35 1.88997 0.00400267 0.35
15 -0.99585 -1.02776 -1.34585 0.35 1.88543 0.00442399 0.35
16 -0.995446 -1.02949 -1.33632 0.35 1.8809 0.00484453 0.35
17 -0.995025 -1.03122 -1.32679 0.35 1.87639 0.00526429 0.35
18 -0.994588 -1.03294 -1.31728 0.35 1.87191 0.00568328 0.35
19 -0.994133 -1.03466 -1.30778 0.35 1.86744 0.0061015 0.35
20 -0.993661 -1.03638 -1.29829 0.35 1.86299 0.00651896 0.35
21 -0.993173 -1.0381 -1.28882 0.35 1.85855 0.00693565 0.35
22 -0.992667 -1.03981 -1.27935 0.35 1.85414 0.00735158 0.35
23 -0.992145 -1.04152 -1.2699 0.35 1.84974 0.00776675 0.35
24 -0.991606 -1.04323 -1.26045 0.35 1.84537 0.00818117 0.35
25 -0.991051 -1.04493 -1.25102 0.35 1.84101 0.00859484 0.35
26 -0.990479 -1.04664 -1.2416 0.35 1.83667 0.00900776 0.35
27 -0.98989 -1.04833 -1.23219 0.35 1.83234 0.00941993 0.35
28 -0.989284 -1.05003 -1.2228 0.35 1.82804 0.00983137 0.35
29 -0.988662 -1.05172 -1.21341 0.35 1.82375 0.0102421 0.35
30 -0.988023 -1.0534 -1.20404 0.35 1.81948 0.010652 0.35
31 -0.987368 -1.05509 -1.19468 0.35 1.81522 0.0110613 0.35
32 -0.986696 -1.05676 -1.18532 0.35 1.81099 0.0114698 0.35
33 -0.986008 -1.05844 -1.17598 0.35 1.80677 0.0118776 0.35
34 -0.985303 -1.06011 -1.16665 0.35 1.80256 0.0122847 0.35
35 -0.984583 -1.06177 -1.15734 0.35 1.79838 0.012691 0.35
36 -0.983845 -1.06343 -1.14803 0.35 1.79421 0.0130967 0.35
37 -0.983092 -1.06508 -1.13873 0.35 1.79005 0.0135017 0.35
38 -0.982322 -1.06673 -1.12945 0.35 1.78592 0.0139059 0.35
39 -0.981537 -1.06838 -1.12018 0.35 1.7818 0.0143095 0.35
40 -0.980735 -1.07001 -1.11091 0.35 1.77769 0.0147124 0.35
41 -0.979917 -1.07165 -1.10166 0.35 1.7736 0.0151146 0.35
42 -0.979083 -1.07327 -1.09242 0.35 1.76953 0.0155161 0.35
43 -0.978234 -1.07489 -1.08319 0.35 1.76547 0.0159169 0.35
44 -0.977368 -1.07651 -1.07398 0.35 1.76143 0.0163171 0.35
45 -0.976487 -1.07811 -1.06477 0.35 1.75741 0.0167166 0.35
46 -0.97559 -1.07972 -1.05557 0.35 1.7534 0.0171155 0.35
47 -0.974677 -1.08131 -1.04639 0.35 1.7494 0.0175137 0.35
48 -0.973749 -1.0829 -1.03722 0.35 1.74542 0.0179113 0.35
49 -0.972805 -1.08448 -1.02805 0.35 1.74146 0.0183082 0.35
50 -0.971845 -1.08605 -1.0189 0.35 1.73751 0.0187045 0.35
51 -0.97087 -1.08762 -1.00976 0.35 1.73357 0.0191002 0.35
52 -0.96988 -1.08918 -1.00063 0.35 1.72965 0.0194952 0.35
53 -0.968875 -1.09073 -0.991511 0.35 1.72574 0.0198897 0.35
54 -0.967854 -1.09228 -0.982403 0.35 1.72185 0.0202835 0.35
55 -0.966819 -1.09382 -0.973306 0.35 1.71797 0.0206767 0.35
56 -0.965768 -1.09534 -0.964219 0.35 1.71411 0.0210694 0.35
57 -0.964702 -1.09687 -0.955144 0.35 1.71026 0.0214614 0.35
58 -0.963622 -1.09838 -0.946079 0.35 1.70642 0.0218529 0.35
59 -0.962526 -1.09988 -0.937025 0.35 1.7026 0.0222438 0.35
60 -0.961416 -1.10138 -0.927982 0.35 1.69879 0.0226341 0.35
61 -0.960291 -1.10287 -0.918949 0.35 1.695 0.0230239 0.35
62 -0.959152 -1.10435 -0.909927 0.35 1.69121 0.0234131 0.35
63 -0.957998 -1.10582 -0.900916 0.35 1.68745 0.0238017 0.35
64 -0.95683 -1.10728 -0.891916 0.35 1.68369 0.0241899 0.35
65 -0.955647 -1.10873 -0.882926 0.35 1.67995 0.0245775 0.35
66 -0.954451 -1.11017 -0.873948 0.35 1.67622 0.0249645 0.35
67 -0.95324 -1.11161 -0.864979 0.35 1.6725 0.0253511 0.35
68 -0.952015 -1.11303 -0.856022 0.35 1.66879 0.0257371 0.35
69 -0.950776 -1.11445 -0.847075 0.35 1.6651 0.0261227 0.35
70 -0.949523 -1.11585 -0.838139 0.35 1.66142 0.0265077 0.35
