1629143812.428608,-1.804605,2.194954,0.848538
1629143812.478784,-1.804605,2.194954,0.848538
1629143812.528956,-1.804605,2.194954,0.848538
1629143812.579128,-1.804605,2.194954,0.848538
1629143812.629301,-1.804605,2.194954,0.848538
1629143812.679480,-1.804605,2.194954,0.848538
1629143812.729648,-1.804605,2.194954,0.848538
1629143812.779807,-1.804605,2.194954,0.848538
1629143812.829982,-1.804605,2.194954,0.848538
1629143812.880155,-1.804605,2.194954,0.848538
1629143812.930331,-1.804605,2.194954,0.848538
1629143812.980505,-1.804605,2.194954,0.848538
1629143813.030760,-1.804605,2.194954,0.848538
1629143813.080933,-1.804605,2.194954,0.848538
1629143813.131096,-1.804605,2.194954,0.848538
1629143813.181289,-1.804605,2.194954,0.848538
1629143813.231452,-1.804605,2.194954,0.848538
1629143813.281626,-1.804605,2.194954,0.848538
1629143813.331815,-1.804605,2.194954,0.848538
1629143813.381993,-1.804605,2.194954,0.848538
1629143813.432158,-1.804605,2.194954,0.848538
1629143813.482357,-1.804605,2.194954,0.848538
1629143813.532575,-1.804605,2.194954,0.848538
1629143813.582741,-1.804605,2.194954,0.848538
1629143813.632910,-1.804605,2.194954,0.848538
1629143813.683081,-1.804605,2.194954,0.848538
1629143813.733279,-1.804605,2.194954,0.848538
1629143813.783458,-1.804605,2.194954,0.848538
1629143813.833633,-1.804605,2.194954,0.848538
1629143813.883791,-1.804605,2.194954,0.848538
1629143813.933978,-1.804605,2.194954,0.848538
1629143813.984149,-1.804605,2.194954,0.848538
1629143814.034319,-1.804605,2.194954,0.848538
1629143814.084488,-1.804605,2.194954,0.848538
1629143814.134674,-1.804605,2.194954,0.848538
1629143814.184846,-1.804605,2.194954,0.848538
1629143814.235016,-1.804605,2.194954,0.848538
1629143814.285184,-1.804605,2.194954,0.848538
1629143814.335351,-1.804605,2.194954,0.848538
1629143814.385518,-1.804605,2.194954,0.848538
1629143814.435707,-1.804605,2.194954,0.848538
1629143814.485876,-1.804605,2.194954,0.848538
1629143814.536037,-1.804605,2.194954,0.848538
1629143814.586210,-1.804605,2.194954,0.848538
1629143814.636414,-1.804605,2.194954,0.848538
1629143814.686664,-1.804605,2.194954,0.848538
1629143814.736867,-1.804605,2.194954,0.848538
1629143814.787040,-1.804605,2.194954,0.848538
1629143814.837214,-1.804605,2.194954,0.848538
1629143814.887377,-1.804605,2.194954,0.848538
1629143814.937547,-1.804605,2.194954,0.848538
1629143814.987700,-1.804605,2.194954,0.848538
1629143815.037882,-1.804605,2.194954,0.848538
1629143815.088055,-1.804605,2.194954,0.848538
1629143815.138244,-1.804605,2.194954,0.848538
1629143815.188415,-1.804605,2.194954,0.848538
1629143815.238586,-1.804605,2.194954,0.848538
1629143815.288757,-1.804605,2.194954,0.848538
1629143815.338928,-1.804605,2.194954,0.848538
1629143815.389126,-1.804605,2.194954,0.848538
1629143815.439306,-1.804605,2.194954,0.848538
1629143815.489490,-1.804605,2.194954,0.848538
1629143815.539672,-1.804605,2.194954,0.848538
1629143815.589844,-1.804605,2.194954,0.848538
1629143815.640019,-1.804605,2.194954,0.848538
1629143815.690188,-1.804605,2.194954,0.848538
1629143815.740382,-1.804605,2.194954,0.848538
1629143815.790560,-1.804605,2.194954,0.848538
1629143815.840738,-1.804605,2.194954,0.848538
1629143815.890910,-1.804605,2.194954,0.848538
1629143815.941091,-1.804605,2.194954,0.848538
1629143815.991292,-1.804605,2.194954,0.848538
1629143816.041494,-1.804605,2.194954,0.848538
1629143816.091730,-1.804605,2.194954,0.848538
1629143816.141932,-1.804605,2.194954,0.848538
1629143816.192146,-1.804605,2.194954,0.848538
1629143816.242349,-1.804605,2.194954,0.848538
1629143816.292562,-1.804605,2.194954,0.848538
1629143816.342769,-1.804605,2.194954,0.848538
1629143816.392974,-1.804605,2.194954,0.848538
1629143816.443177,-1.804605,2.194954,0.848538
1629143816.493379,-1.804605,2.194954,0.848538
1629143816.543636,-1.804605,2.194954,0.848538
1629143816.593851,-1.804605,2.194954,0.848538
1629143816.644057,-1.804605,2.194954,0.848538
1629143816.694258,-1.804605,2.194954,0.848538
1629143816.744466,-1.804605,2.194954,0.848538
1629143816.794665,-1.804605,2.194954,0.848538
1629143816.844872,-1.804605,2.194954,0.848538
1629143816.895082,-1.804605,2.194954,0.848538
1629143816.945314,-1.804605,2.194954,0.848538
1629143816.995548,-1.804605,2.194954,0.848538
1629143817.045768,-1.804605,2.194954,0.848538
1629143817.095967,-1.804605,2.194954,0.848538
1629143817.146174,-1.804605,2.194954,0.848538
1629143817.196377,-1.804605,2.194954,0.848538
1629143817.246587,-1.804605,2.194954,0.848538
1629143817.296791,-1.804605,2.194954,0.848538
1629143817.347001,-1.804605,2.194954,0.848538
1629143817.397222,-1.804605,2.194954,0.848538
1629143817.447424,-1.804605,2.194954,0.848538
1629143817.497636,-1.804605,2.194954,0.848538
1629143817.547838,-1.804605,2.194954,0.848538
1629143817.598047,-1.804605,2.194954,0.848538
1629143817.648253,-1.804605,2.194954,0.848538
1629143817.698476,-1.804605,2.194954,0.848538
1629143817.748682,-1.804605,2.194954,0.848538
1629143817.798885,-1.804605,2.194954,0.848538
1629143817.849089,-1.804605,2.194954,0.848538
1629143817.899299,-1.804605,2.194954,0.848538
1629143817.949497,-1.804605,2.194954,0.848538
1629143817.999700,-1.804605,2.194954,0.848538
1629143818.049879,-1.804605,2.194954,0.848538
1629143818.100053,-1.804605,2.194954,0.848538
1629143818.150217,-1.804605,2.194954,0.848538
1629143818.200388,-1.804605,2.194954,0.848538
